20:57:43 | rss_kb=20536416 | Index:   building|Memory:  19.6 GB (peak 19.6 GB)|busy:        warm-build (running 0h 22m 33s)|busy:        delta (running 0h 18m 49s)
20:57:59 | rss_kb=20536416 | Index:   building|Memory:  19.6 GB (peak 19.6 GB)|busy:        warm-build (running 0h 22m 48s)|busy:        delta (running 0h 19m 4s)
20:58:14 | rss_kb=20536512 | Index:   building|Memory:  19.6 GB (peak 19.6 GB)|busy:        warm-build (running 0h 23m 3s)|busy:        delta (running 0h 19m 19s)
20:58:29 | rss_kb=20536448 | Index:   building|Memory:  19.6 GB (peak 19.6 GB)|busy:        warm-build (running 0h 23m 19s)|busy:        delta (running 0h 19m 35s)
20:58:45 | rss_kb=20538784 | Index:   building|Memory:  19.6 GB (peak 19.6 GB)|busy:        warm-build (running 0h 23m 35s)|busy:        delta (running 0h 19m 50s)
20:59:00 | rss_kb=20538784 | Index:   building|Memory:  19.6 GB (peak 19.6 GB)|busy:        warm-build (running 0h 23m 50s)|busy:        delta (running 0h 20m 6s)
20:59:16 | rss_kb=20538784 | Index:   building|Memory:  19.6 GB (peak 19.6 GB)|busy:        warm-build (running 0h 24m 5s)|busy:        delta (running 0h 20m 21s)
20:59:31 | rss_kb=20538848 | Index:   building|Memory:  19.6 GB (peak 19.6 GB)|busy:        warm-build (running 0h 24m 21s)|busy:        delta (running 0h 20m 37s)
20:59:47 | rss_kb=20538864 | Index:   building|Memory:  19.6 GB (peak 19.6 GB)|busy:        warm-build (running 0h 24m 36s)|busy:        delta (running 0h 20m 52s)
21:00:02 | rss_kb=20538880 | Index:   building|Memory:  19.6 GB (peak 19.6 GB)|busy:        warm-build (running 0h 24m 51s)|busy:        delta (running 0h 21m 7s)
21:00:17 | rss_kb=20538880 | Index:   building|Memory:  19.6 GB (peak 19.6 GB)|busy:        warm-build (running 0h 25m 6s)|busy:        delta (running 0h 21m 22s)
21:00:32 | rss_kb=20538880 | Index:   building|Memory:  19.6 GB (peak 19.6 GB)|busy:        warm-build (running 0h 25m 23s)|busy:        delta (running 0h 21m 38s)
21:00:49 | rss_kb=20538944 | Index:   building|Memory:  19.6 GB (peak 19.6 GB)|busy:        warm-build (running 0h 25m 38s)|busy:        delta (running 0h 21m 54s)
21:01:04 | rss_kb=20540704 | Index:   building|Memory:  19.6 GB (peak 19.6 GB)|busy:        warm-build (running 0h 25m 53s)|busy:        delta (running 0h 22m 9s)
21:01:19 | rss_kb=20540704 | Index:   building|Memory:  19.6 GB (peak 19.6 GB)|busy:        warm-build (running 0h 26m 8s)|busy:        delta (running 0h 22m 24s)
21:01:34 | rss_kb=20540704 | Index:   building|Memory:  19.6 GB (peak 19.6 GB)|busy:        warm-build (running 0h 26m 23s)|busy:        delta (running 0h 22m 39s)
21:01:51 | rss_kb=12618336 | Index:   building|Memory:  12.0 GB (peak 19.6 GB)|busy:        warm-build (running 0h 26m 40s)|busy:        delta (running 0h 22m 56s)
21:02:06 | rss_kb=11200336 | Index:   building|Memory:  10.6 GB (peak 19.6 GB)|busy:        warm-build (running 0h 26m 55s)|busy:        delta (running 0h 23m 11s)
21:02:21 | rss_kb=11929968 | Index:   building|Memory:  11.4 GB (peak 19.6 GB)|busy:        warm-build (running 0h 27m 10s)|busy:        delta (running 0h 23m 26s)
21:02:36 | rss_kb=11541632 | Index:   building|Memory:  11.0 GB (peak 19.6 GB)|busy:        warm-build (running 0h 27m 27s)|busy:        delta (running 0h 23m 43s)
21:02:53 | rss_kb=12313520 | Index:   building|Memory:  11.8 GB (peak 19.6 GB)|busy:        warm-build (running 0h 27m 42s)|busy:        delta (running 0h 23m 58s)
21:03:08 | rss_kb=10262896 | Index:   building|Memory:  9.6 GB (peak 19.6 GB)|busy:        warm-build (running 0h 27m 57s)|busy:        delta (running 0h 24m 13s)
21:03:23 | rss_kb=12219280 | Index:   building|Memory:  11.4 GB (peak 19.6 GB)|busy:        warm-build (running 0h 28m 12s)|busy:        delta (running 0h 24m 28s)
21:03:38 | rss_kb=6980592 | Index:   building|Memory:  6.7 GB (peak 19.6 GB)|busy:        warm-build (running 0h 28m 27s)|busy:        delta (running 0h 24m 43s)
